smiles,idnumber,reagent1,reagent2,reagent3,reagent4,reaction,MW,HAC,sLogP,HBA,HBD,RotBonds,FSP3,TPSA,QED,PAINS,BRENK,NIH,ZINC,LILLY,lead-like,350/3_lead-like,fragments,strict_fragments,PPI_modulators,natural_product-like,Type,InChiKey,pred
CCC1=NNC(CC)=C1CC(=O)N[C@H]1C[C@@](C)(O)C1,Z3670357625,12407960,3625328,,,22,265.357,19,1.107,3,3,5,0.714,78.010,0.746,,,,,,True,,,,AAAAADUDZUYLLM-DEZZCRIOSA-N,,,,-34.73534043357778
COC(=O)C1=CC=C(CSCC2=C(C3CCC3)OC=N2)O1,Z3513507782,22114216,10687039,,,7,307.371,21,3.755,6,0,6,0.467,65.470,0.757,,,,,,True,,,,AAAABAQTSJZDKT-UHFFFAOYSA-N,,,,-36.06855297528518
CC1=CC(CC(=O)N2CC[C@@H](S(N)(=O)=O)C2)=CC=C1F,Z6127089457,34385911,2241403,,,22,300.355,20,0.566,3,1,3,0.462,80.470,0.886,,,,,,True,True,,,AAAABDUHPQQUET-LLVKDONJSA-N,,,,-33.744950105367195
CC1=NC(Br)=C(C(=O)N2CCN3C(=O)OCC3(C)C2)S1,Z5718277364,24553032,28737041,,,22,360.233,20,1.881,5,0,1,0.583,62.740,0.767,,,,,,True,,,AAAABWGLOZSMMH-UHFFFAOYSA-N,,,,,-39.199270985825635
CC1CC(=O)NCCN1C(=O)NC1=CC(CC#N)=CC=N1,Z2788930889,3068039,2806951,,,2430,287.323,21,0.890,4,2,2,0.429,98.120,0.844,,,,,,True,True,,,,,AAAACLWWPXBBDL-UHFFFAOYSA-N,,-33.65588833566581
"C[P@@]1(=O)C[C@@H](O)[C@H](OC2=CC=CC(Br)=C2Cl)C1 |&1:1,4,6|",Z3814123583,8016065,26392920,,,63,339.553,17,3.217,3,1,2,0.455,46.530,0.842,,True,,,True,True,,True,M,"AAAACMLDESKFIG-QBAXLYOUSA-N,AAAACMLDESKFIG-UYDXONCASA-N",,,,-35.69632362828267
COC(=O)C(OC)C(=O)OCCC1=CN=CC=N1,Z3380231195,1837120,3479247,,,276436,254.242,18,-0.250,7,0,6,0.455,87.610,0.511,,True,,,,True,,,,,,SAAAACOLAYZDTAY-UHFFFAOYSA-N,,-34.25404375557732
CCOC1=CN=C(CN2CCCC23CCOC3=O)N=C1,Z4481574837,15159813,26617891,,,270004,277.324,20,1.157,6,0,4,0.643,64.550,0.769,,,,,,True,True,,,AAAADFCLSAYUIY-UHFFFAOYSA-N,,,,-33.82313100245267
CC1=CN=C(CCCC(=O)N2CCC(C(C)C#N)CC2)O1,Z5328084698,26775701,10786090,,,22,289.379,21,2.704,4,0,5,0.688,70.130,0.835,,,,,,True,True,,,AAAADFRQDGPVFN-UHFFFAOYSA-N,,,,-36.05453010352604
"C#CC1=CC(N(C(=O)C2=NO[C@@H](C)[C@@H]2C)C(C)C)=CC=C1 |&1:11,13|",Z4319359135,2213496,26564322,,,11,284.359,21,2.820,3,0,3,0.412,41.900,0.801,,True,,,True,True,True,True,,,,S,"AAAADRLVZIXEKU-CHWSQXEVSA-N,AAAADRLVZIXEKU-STQMWFEESA-N",-35.535031700104724
O=C(C=C1CC1)N1CCC(N2N=NC3=C2CCCC3)CC1,Z4098973553,2113614,3018895,,,22,286.379,21,2.041,4,0,2,0.688,51.020,0.782,,True,,,,True,True,,,,,AAAADVRRGCVWDF-UHFFFAOYSA-N,,-42.706626302661256
"O=C(N[C@H]1COC[C@H]1CO)[C@@H]1CC[C@H]2C[C@@H]1CO2 |&1:3,7,&2:10,13,15|",Z3208960741,25966515,24847237,,,22,255.314,18,-0.075,4,2,3,0.923,67.790,0.740,,,,,,True,,,,,True,M,"AAAADYJSEWWHRE-HHHUOAJASA-N,AAAADYJSEWWHRE-KNZXXDILSA-N,AAAADYJSEWWHRE-YBXAARCKSA-N,AAAADYJSEWWHRE-ZIQFBCGOSA-N",-37.87996663273166
CCC1=NC=CN1CC(C)NC(=O)N1CCO[C@H](CO)C1,Z3696098262,8067124,3661931,,,2708,296.371,21,0.237,5,2,5,0.714,79.620,0.815,,,,,,True,True,,,,,AAAAEEFOBSTZSJ-KIYNQFGBSA-N,,-34.26981670151858
CCC1=NC=CN1CC(C)NC(=O)N1CCO[C@@H](CO)C1,Z3696096766,8067124,3061015,,,2708,296.371,21,0.237,5,2,5,0.714,79.620,0.815,,,,,,True,True,,,,,AAAAEEFOBSTZSJ-PIJUOVFKSA-N,,-33.684633037926176
COC1=CC(CN2CCC(C)C2C(=O)O)=CC=C1C#N,Z3351668114,11447759,3665545,,,275532,274.320,20,1.862,4,1,4,0.467,73.560,0.907,,,,,,True,True,,,,AAAAEFPUHCAGRF-UHFFFAOYSA-N,,,-33.48501875578045
NC1=NC=NC=C1C(=O)N1CC[C@]12C[C@@H](CF)C2,Z4113999230,26564410,191038,,,22,250.277,18,1.023,4,1,2,0.583,72.110,0.850,,,,,,True,,,,AAAAEGRXDVUJGB-ITWVYHRLSA-N,,,,-35.506853831451835
CN1N=NN=C1C1=CCN(S(=O)C2=CC=CC=C2Cl)CC1,Z5486368138,26605882,25959351,,,40,323.809,21,1.675,5,0,3,0.308,63.910,0.862,,,,,,True,True,,,AAAAEOBQBROPEA-UHFFFAOYSA-N,,,,-34.535535513573635
"O=C(C[C@H]1CCCNC1)N1C[C@H]2CCCC[C@@]2(CO)C1 |&1:11,16|",Z3521691268,26304590,4203646,,,240690,280.412,20,1.387,3,2,3,0.938,52.570,0.821,,,,,,True,True,True,,,True,M,"AAAAEQUQAOLKRZ-FMKPAKJESA-N,AAAAEQUQAOLKRZ-IJEWVQPXSA-N",-34.79033661520125
"O=C(C[C@@H]1CCCNC1)N1C[C@H]2CCCC[C@@]2(CO)C1 |&1:11,16|",Z3521690538,26304590,4203647,,,240690,280.412,20,1.387,3,2,3,0.938,52.570,0.821,,,,,,True,True,True,,,True,M,"AAAAEQUQAOLKRZ-LZWOXQAQSA-N,AAAAEQUQAOLKRZ-OFQRWUPVSA-N",-34.88515063239073
"O=C(NCCC1=CC=NO1)[C@@H]1C[C@H]1C1=CC(Cl)=CC(Cl)=C1 |&1:10,12|",Z4771421626,22500988,3576453,,,22,325.195,21,3.444,3,1,5,0.333,55.130,0.916,,,,,,True,,"AAAAESFJBKDIHX-KGLIPLIRSA-N,AAAAESFJBKDIHX-UONOGXRCSA-N",,,,,,-34.7531583952508
CC1=NNC(C(=O)N[C@@H](CO)C2=CN=CC(Br)=C2)=C1Cl,Z5603616502,27186036,3102617,,,22,359.611,20,1.992,4,3,4,0.250,90.900,0.778,,,,,,True,,,,AAAAFDPWINPBOY-VIFPVBQESA-N,,,,-34.029447423422134
C[C@@H]1CN(C(=O)C2=CSC3=C(F)C=CC=C23)CS1,Z6104631403,27156639,20608427,,,22,281.377,18,3.575,3,0,1,0.308,20.310,0.796,,,,,,True,,,AAAAFMUZTUEBOY-MRVPVSSYSA-N,,,,,-34.74566580367268
C[C@H]1CN(C(=O)C2=CSC3=C(F)C=CC=C23)CS1,Z6104607730,27156638,20608427,,,22,281.377,18,3.575,3,0,1,0.308,20.310,0.796,,,,,,True,,,,AAAAFMUZTUEBOY-QMMMGPOBSA-N,,,,-35.27276893493807
O=C(O)C1=CC(C(=O)NCC2(CO)COC2)=CC(F)=C1,Z6295501641,2802614,3015404,,,188690,283.255,20,0.263,4,3,5,0.385,95.860,0.720,,,,,,True,True,,,,,AAAAFORVBAKFER-UHFFFAOYSA-N,,-34.484439303660196
NC1=C(Br)C=CC=C1CC(=O)OCCCN1CCCC1=O,Z1830609778,7123714,2020257,,,1458,355.232,21,2.130,4,1,6,0.467,72.630,0.482,,True,,,True,True,,,,,,AAAAFXCNYFYTEE-UHFFFAOYSA-N,,-33.21442297698293
CC(C)(C)[C@@H](O)C(=O)NCCSCC1=CC=CC=C1C#N,Z5436130953,32943,3478701,,,22,306.431,21,2.315,4,2,6,0.500,73.120,0.791,,True,,,,True,True,,,,AAAAGFCMOUMXBB-AWEZNQCLSA-N,,,-33.38446023977768
CC(C)(C)[C@H](O)C(=O)NCCSCC1=CC=CC=C1C#N,Z5467243676,32943,2789853,,,22,306.431,21,2.315,4,2,6,0.500,73.120,0.791,,True,,,,True,True,,,,AAAAGFCMOUMXBB-CQSZACIVSA-N,,,-33.15725083368922
